,open,high,low,close,volume
1881,155.7900,155.7900,153.3900,153.7900,3934281
1882,154.4800,155.3890,154.2500,154.9500,4469538
1883,155.5100,155.8600,154.5400,154.8400,4381436
1884,154.2300,155.4200,152.9676,155.3800,6128190
1885,153.2900,154.6900,153.2900,154.2200,4626272
1886,153.9700,154.9399,152.9400,153.8100,3035864
1887,155.4400,155.4800,154.1500,154.2500,3509558
1888,154.1900,157.2000,154.0200,155.1800,6461725
1889,152.0000,154.2650,151.8800,154.1000,4355401
1890,151.0000,152.8200,150.9200,152.1000,3681319
1891,153.0500,154.2000,150.8000,150.9800,4858631
1892,152.0000,152.8900,152.0000,152.3700,3786593
1893,151.8200,152.9300,151.6826,152.4100,3971157
1894,153.0700,153.2000,151.8000,152.0500,3573193
1895,152.8000,152.8700,151.6300,152.6700,2904189
1896,152.0300,152.8000,151.6500,152.6300,3496466
1897,151.9500,152.6700,151.5900,151.7300,3609710
1898,152.8500,153.0000,152.0600,152.4900,2440117
1899,153.2500,153.7300,152.9459,153.2000,2579828
1900,152.2100,152.7600,151.2300,152.5100,3731333
1901,152.5700,153.6800,151.9200,152.0300,2563975
1902,152.1000,152.8400,151.5992,152.6400,3248372
1903,151.0100,152.4600,150.8900,151.9800,5617824
1904,150.8600,151.3300,150.1100,150.7800,3268772
1905,153.3000,154.1400,150.8900,150.9300,5048937
1906,151.6600,153.9900,151.6600,153.6800,5452539
1907,150.6200,151.8300,150.4502,151.5100,4218359
1908,150.3000,151.2650,150.0000,150.3700,3651964
1909,151.0500,151.1500,149.7900,150.6500,5546379
1910,151.6510,152.3700,151.1300,151.2500,4995590
1911,152.6000,153.1000,151.5552,152.1100,6823015
1912,152.8000,153.4700,152.2000,153.0300,7415765
1913,153.5200,155.7800,153.0000,155.0500,12415240
1914,158.8900,159.1400,158.3600,159.0500,4271669
1915,158.7400,159.4500,158.5200,158.6300,3990429
1916,159.4400,159.4900,158.6400,159.1000,3149949
1917,160.0500,160.4200,158.7000,158.8400,4919710
1918,160.5000,160.5900,159.7000,160.2900,4029533
1919,160.2900,160.4800,159.6300,160.3200,4081640
1920,160.5300,161.1000,159.8900,160.0600,4311484
1921,161.7800,162.0400,160.3800,160.3900,4842189
1922,161.2900,161.5700,160.4200,160.7500,5320608
1923,162.0500,162.1100,160.3800,160.3800,5607756
1924,161.3200,162.4000,160.5000,162.3000,6486809
1925,161.7600,162.6400,159.6000,161.6900,192843
1926,170.7900,171.6900,169.8300,170.0500,6345465
1927,169.7500,171.3000,169.6200,171.1000,3720218
1928,169.9200,171.3600,169.5300,169.5300,3205462
1929,171.0400,171.2000,170.0200,170.6600,3276931
1930,170.6500,171.2300,168.9800,170.5800,4890163
1931,172.5300,172.5600,171.0000,171.2000,3789936
1932,172.0800,172.9300,171.2800,172.1400,3588302
1933,173.4700,173.4700,172.2500,172.4500,3435403
1934,174.7000,176.3300,172.8100,172.8800,6238894
1935,173.5200,174.9600,173.2600,174.5200,3108855
1936,173.8200,174.8700,173.3800,174.5000,4286498
1937,173.9800,174.9500,173.6900,174.1400,2913684
1938,173.8600,174.5900,173.6900,173.8600,3168254
1939,174.3000,174.4900,173.4600,173.9400,3085606
1940,173.9400,175.0000,173.0000,174.5100,3523345
1941,172.6900,174.1600,172.0937,173.7700,3259049
1942,175.1200,175.5000,173.3900,173.8300,3221672
1943,174.4300,175.6700,173.5600,174.8200,3739976
1944,174.0400,175.0600,172.8000,174.7800,3450512
1945,176.0100,176.2300,173.8400,173.8800,3927741
1946,175.6500,176.1800,175.1400,175.7000,2476125
1947,176.2900,176.7900,175.6500,175.6500,5920967
1948,178.4600,179.0000,176.8200,177.2400,4311848
1949,175.7100,176.2800,174.7500,175.8100,3815537
1950,176.1800,176.8200,175.2110,175.7200,3147497
1951,177.8500,178.0600,176.4150,176.4600,3482189
1952,178.2100,179.4900,177.4200,177.8300,3100116
1953,179.1500,179.2500,175.8800,177.1800,5444076
1954,180.7500,180.9500,179.3000,179.4500,3557396
1955,180.7100,181.2900,180.1997,180.3800,2977596
1956,179.7200,180.9900,179.5700,180.4700,3204434
1957,180.0400,181.3200,179.7649,180.0500,1825048
1958,181.8800,181.8800,180.4300,180.5300,2918153
1959,180.4800,182.5500,180.0300,181.9500,3005564
1960,179.3800,180.6300,179.3500,179.8200,3273335
1961,181.1900,181.2500,179.2800,179.4000,3691209
1962,180.2100,181.4900,179.8900,181.3500,3299019
1963,182.0000,182.5000,180.9200,181.6500,2282526
1964,180.0900,181.3400,180.0900,181.1500,3020540
1965,180.6000,180.7900,179.1200,180.2600,4480199
1966,181.2500,181.5700,180.0000,180.6700,3552305
1967,181.4500,182.7900,180.8700,181.4300,3251547
1968,180.2000,181.9200,179.8100,181.6800,2914292
1969,178.5700,180.1300,178.3500,180.1300,2775818
1970,179.2400,179.9000,178.8400,179.3600,3093372
1971,177.3700,178.8701,176.7600,178.6800,2930710
1972,176.1700,177.8000,175.9100,177.2100,3090710
1973,177.5000,177.5000,175.8800,176.1700,2913126
1974,176.0000,178.6200,175.9000,178.4600,3873233
1975,175.3100,175.9800,174.3800,175.8600,2650509
1976,175.0000,176.3400,174.8900,175.8200,3309179
1977,174.2300,174.9700,173.5500,174.5800,2620526
1978,175.0000,175.7025,172.8900,174.2900,2795445
1979,175.0500,175.5800,173.6100,174.5200,4134049
1980,176.9800,177.0700,174.5768,175.8000,4093555
1981,178.4700,179.2000,177.3000,177.3000,3482105
1982,178.0600,178.8800,177.5100,178.6600,3063911
1983,176.2600,179.2500,176.1300,178.2900,5922462
1984,171.3600,176.0000,171.1600,175.9000,6952369
1985,170.0800,171.2500,170.0100,171.0300,5477314
1986,167.8100,170.6400,166.0000,170.5500,12606847
1987,166.9600,167.4500,165.8000,166.8100,6963386
1988,167.4500,168.5900,166.6900,166.8000,4005626
1989,166.6900,168.1800,166.1201,167.8900,3315655
1990,167.9700,168.4800,166.8750,167.3400,2875319
1991,167.7700,168.0100,165.5600,167.9500,2927953
1992,166.0500,167.7600,165.6000,167.7500,3599464
1993,167.9800,168.0900,165.3400,165.5200,4118694
1994,169.4700,169.8000,167.6200,167.6500,3189413
1995,168.6900,169.9200,167.5200,169.5300,2945536
1996,169.2500,169.3900,167.2600,168.7000,2682181
1997,167.7700,169.8700,167.3600,169.2600,3381232
1998,167.0000,167.8700,166.0100,167.1900,2934299
1999,166.4400,166.7000,165.5000,165.9900,2952200
2000,166.0200,166.9900,166.0000,166.6000,1663542
2001,167.2900,167.7400,166.0000,166.1900,1757500
2002,166.9800,167.9800,166.8500,167.1400,1397455
2003,167.0000,167.4900,166.4500,166.7100,1701228
2004,167.3600,168.2300,166.5800,167.0600,2802631
2005,166.2500,167.9400,165.2500,167.3300,3575210
2006,167.4900,168.2500,166.4500,167.6000,2174569
2007,166.8300,167.2600,166.0000,166.6800,2955864
2008,168.9700,169.1100,166.0600,166.7300,7117050
2009,168.0100,169.8500,167.7800,168.0200,3388570
2010,168.3700,169.8900,167.4500,168.5100,4123821
2011,165.6800,169.9520,165.6800,168.2900,5932271
2012,166.7200,166.7900,165.0700,165.5000,3392030
